Date,Category,Title,Link
2026-04-27 19:04:34,Gündem,Cumhurbaşkanı Erdoğan ‘Bir Adam Yaratmak’ filminin galasına katıldı,https://www.hurriyet.com.tr/gundem/cumhurbaskani-erdogan-bir-adam-yaratmak-filminin-galasina-katildi-43160722
2026-04-27 18:19:00,Gündem,Son dakika... Ayaş Kaymakamı Eligül'e soruşturma,https://www.hurriyet.com.tr/gundem/icisleri-bakanligi-ayas-kaymakami-eligul-hakkinda-sorusturma-acilmistir-43160707
2026-04-27 18:10:00,Gündem,Alman turistin sır ölümü… Otel odasında ölü bulundu,https://www.hurriyet.com.tr/gundem/alman-turistin-sir-olumu-otel-odasinda-olu-bulundu-43160701
2026-04-27 17:25:00,Gündem,"Feci kaza… Tırdaki mermerler, otomobildekilerin üzerine düştü; 1 ölü, 3 yaralı",https://www.hurriyet.com.tr/gundem/feci-kaza-tirdaki-mermerler-otomobildekilerin-uzerine-dustu-1-olu-3-yarali-43160686
2026-04-27 16:36:43,Gündem,Bakan Gürlek'ten '27 Nisan e-muhtıra' mesajı: Vesayet ve darbe dönemleri tamamen geride kaldı,https://www.hurriyet.com.tr/gundem/bakan-gurlekten-27-nisan-e-muhtira-mesaji-vesayet-ve-darbe-donemleri-artik-tamamen-geride-kaldi-43160674
2026-04-27 16:33:00,Gündem,Feci olay… Aracını park etmek isterken oğlunun ölümüne neden oldu,https://www.hurriyet.com.tr/gundem/aci-haber-aracini-park-etmek-isterken-oglunun-olumune-neden-oldu-43160671
2026-04-27 16:27:43,Gündem,İBB'ye yönelik 'yolsuzluk' davasında duruşma yarına ertelendi,https://www.hurriyet.com.tr/gundem/ibbye-yonelik-yolsuzluk-davasinda-durusma-yarina-ertelendi-43160669
2026-04-27 15:42:35,Gündem,"Bakan Çiftçi'den 27 Nisan ""e-muhtıra""sına ilişkin paylaşım",https://www.hurriyet.com.tr/gundem/bakan-ciftciden-27-nisan-e-muhtirasina-iliskin-paylasim-43160653
2026-04-27 15:39:19,Gündem,Bakan Işıkhan: OECD ile uyumlu ve beceri temelli bütüncül bir yaklaşımı benimsiyoruz,https://www.hurriyet.com.tr/gundem/bakan-isikhan-oecd-ile-uyumlu-ve-beceri-temelli-butuncul-bir-yaklasimi-benimsiyoruz-43160652
2026-04-27 14:40:47,Gündem,Mersin'de kahreden olay: Aracını park etmek isterken oğlunun ölümüne neden oldu,https://www.hurriyet.com.tr/gundem/mersinde-kahreden-olay-aracini-park-etmek-isterken-oglunun-olumune-neden-oldu-43160618
